LBA, Entropy #1,Entropy #2,Class,Name
6562928,0.35223301,0.281617467,0,Malicious
6491160,0.04343931,0.03246636,0,Malicious
6491144,0.12429784,0.054284666,0,Malicious
12326624,0.545806788,0.476440401,0,Malicious
16646768,0.137468417,0.097675422,0,Malicious
12370600,0.381347535,0.313558546,0,Malicious
16616152,0.167076157,0.1194158,0,Malicious
45040392,0.495473082,0.43387174,0,Malicious
45040400,0.378004141,0.335295729,0,Malicious
120078368,0.435227228,0.359258404,0,Malicious
120078376,0.539594764,0.464849907,0,Malicious
120078384,0.502969098,0.435430132,0,Malicious
120078392,0.485143408,0.422157002,0,Malicious
119834880,0.314948826,0.262412936,0,Malicious
119834888,0.03264133,0.020825572,0,Malicious
119834896,0,0,0,Malicious
119834904,0,0,0,Malicious
5791112,0.538292759,0.46406758,0,Malicious
120078400,0.481874727,0.472462721,0,Malicious
120078408,0.482536181,0.471885814,0,Malicious
120078416,0.484272431,0.468084235,0,Malicious
120078424,0.489689462,0.472907813,0,Malicious
120078432,0.495560918,0.479483352,0,Malicious
120078440,0.493177295,0.478340638,0,Malicious
120078448,0.540547427,0.463074281,0,Malicious
120078456,0.483699016,0.47345209,0,Malicious
120078464,0.494565609,0.477424462,0,Malicious
120078472,0.493732544,0.478921659,0,Malicious
120078480,0.487923532,0.474650388,0,Malicious
120078488,0.514327643,0.451577552,0,Malicious
120078496,0.484251611,0.473371068,0,Malicious
120078504,0.483852767,0.473714155,0,Malicious
120078512,0.506791766,0.483987268,0,Malicious
120078520,0.4880949,0.474124756,0,Malicious
120078528,0.480067602,0.471669414,0,Malicious
120078536,0.481540825,0.472884386,0,Malicious
120078544,0.482274777,0.473633188,0,Malicious
120078552,0.480894376,0.471221361,0,Malicious
120078560,0.482010086,0.472654094,0,Malicious
120078568,0.482927784,0.472443593,0,Malicious
120078576,0.519707554,0.461048372,0,Malicious
120078584,0.482395243,0.473453089,0,Malicious
120078592,0.480184796,0.471335447,0,Malicious
120078600,0.483483332,0.474105762,0,Malicious
120078608,0.484608549,0.473286933,0,Malicious
120078616,0.483369431,0.473013736,0,Malicious
120078624,0.483103935,0.474056014,0,Malicious
120078632,0.481103989,0.47307346,0,Malicious
120078640,0.515277587,0.457015524,0,Malicious
120078648,0.482253045,0.471761183,0,Malicious
119834880,0.314948826,0.262412936,0,Malicious
119834888,0.055448516,0.03779805,0,Malicious
119834896,0,0,0,Malicious
119834904,0,0,0,Malicious
51409400,0.553325725,0.47672495,0,Malicious
51409408,0.630871875,0.526517248,0,Malicious
51409416,0.43027428,0.394127712,0,Malicious
51409424,0.535134262,0.456500985,0,Malicious
51409432,0.560969299,0.482652929,0,Malicious
51409440,0.540188975,0.463196046,0,Malicious
51409448,0.486243318,0.429313017,0,Malicious
51409456,0.541875072,0.467998335,0,Malicious
51409464,0.513495627,0.443289691,0,Malicious
51409472,0.657500921,0.554495621,0,Malicious
51409480,0.661184305,0.570715718,0,Malicious
51409488,0.692918538,0.590147193,0,Malicious
51409496,0.677843253,0.564328736,0,Malicious
51409504,0.664495654,0.549545761,0,Malicious
51409512,0.63956661,0.523773139,0,Malicious
51409520,0.667559222,0.567634084,0,Malicious
51409528,0.707020104,0.599073813,0,Malicious
51409536,0.566258517,0.482515935,0,Malicious
51409544,0.578647604,0.490850825,0,Malicious
51409552,0.525654656,0.453753525,0,Malicious
51409560,0.541941688,0.468853882,0,Malicious
51409568,0.678865541,0.571594302,0,Malicious
51409576,0.571077451,0.482366699,0,Malicious
51409584,0.566190133,0.475642677,0,Malicious
51409592,0.484825691,0.434647046,0,Malicious
51409600,0.479989934,0.429157578,0,Malicious
51409608,0.564561399,0.486373081,0,Malicious
51409616,0.506841661,0.441472454,0,Malicious
51409624,0.548476493,0.475919647,0,Malicious
51409632,0.508798715,0.447231724,0,Malicious
51409640,0.493449814,0.450607345,0,Malicious
51409648,0.572209695,0.493626014,0,Malicious
2509256,0.506767676,0.458215509,0,Malicious
45040256,0.504740039,0.438988797,0,Malicious
45040264,0.521952505,0.478345203,0,Malicious
45040272,0.528074296,0.477883536,0,Malicious
45040280,0.520794133,0.474889182,0,Malicious
45040288,0.512059685,0.465423928,0,Malicious
45040296,0.521444212,0.470487766,0,Malicious
45040304,0.519320492,0.47527698,0,Malicious
45040312,0.510477346,0.461101079,0,Malicious
45040320,0.427693221,0.36782303,0,Malicious
12343520,0.510126056,0.442809119,0,Malicious
12343528,0.541572217,0.491357854,0,Malicious
12343536,0.526959804,0.485498612,0,Malicious
12343544,0.536069443,0.490667969,0,Malicious
12343552,0.533170968,0.488173515,0,Malicious
12343560,0.540222128,0.492777324,0,Malicious
12343568,0.537935491,0.488846023,0,Malicious
12343576,0.114206143,0.079844227,0,Malicious
16745704,0.53710715,0.463194188,0,Malicious
16745712,0.598854731,0.549675685,0,Malicious
16745720,0.606670891,0.550622815,0,Malicious
16745728,0.605055677,0.552780209,0,Malicious
16745736,0.606286029,0.551120424,0,Malicious
16745744,0.599841451,0.54868628,0,Malicious
16745752,0.601693978,0.54919487,0,Malicious
16745760,0.605081581,0.552802357,0,Malicious
16745768,0.490270034,0.421764923,0,Malicious
50800800,0.500422283,0.434513221,0,Malicious
50800808,0.504703353,0.466785824,0,Malicious
50800816,0.514628988,0.46701298,0,Malicious
16753120,0.500752624,0.434588779,0,Malicious
16753128,0.498824948,0.464066799,0,Malicious
16753136,0.501711604,0.466807646,0,Malicious
16753144,0.064322141,0.043398605,0,Malicious
6562936,0.320316097,0.250491586,0,Malicious
6491168,0.099921041,0.071519419,0,Malicious
6491152,0.117011953,0.028930486,0,Malicious
6267512,0.48956774,0.423005358,0,Malicious
6267520,0.488329027,0.451149554,0,Malicious
6267528,0.484651862,0.443477064,0,Malicious
6267536,0.482831082,0.451110653,0,Malicious
6267544,0.483954301,0.440510034,0,Malicious
6267552,0.070216732,0.0466182,0,Malicious
120078656,0.541364865,0.466333342,0,Malicious
120078664,0.208857762,0.15259253,0,Malicious
120078672,0.659198206,0.523883647,0,Malicious
120078680,0.605842121,0.449292071,0,Malicious
119834880,0.314948826,0.262412936,0,Malicious
119834888,0.0586192,0.04024141,0,Malicious
119834896,0,0,0,Malicious
119834904,0,0,0,Malicious
9957032,0.208834725,0.152798672,0,Malicious
120078688,0.261319898,0.199756653,0,Malicious
120078696,0.399703639,0.323975812,0,Malicious
120078704,0,0,0,Malicious
120078712,0,0,0,Malicious
119834880,0.314948826,0.262412936,0,Malicious
